_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
196,apr-20,5,52,329,369,238,863,6483,467,768,2512,2268,468,369,349,85,69.5%
197,may-20,1,57,407,390,497,1015,8207,1093,964,3151,2523,476,449,435,93,100.0%
198,may-20,2,22,29,452,256,145,3549,393,449,1143,1239,325,236,162,38,43.2%
199,may-20,6,9,18,66,279,86,2172,684,259,861,345,23,135,133,7,26.5%
200,may-20,3,15,20,123,324,69,2217,1037,193,669,284,34,129,156,5,27.0%
201,may-20,8,11,28,44,29,99,769,0,769,0,0,0,16,18,23,9.4%
202,may-20,7,31,359,223,144,847,5221,0,0,2482,2239,442,305,225,66,63.6%
203,may-20,5,48,389,324,218,929,6035,409,705,2290,2178,453,334,327,86,73.5%
204,jun-20,1,48,324,368,434,798,7668,993,889,2939,2381,466,425,430,92,100.0%
205,jun-20,2,19,36,450,268,125,3615,414,448,1161,1260,332,237,169,36,47.1%
206,jun-20,6,12,16,43,229,93,1917,599,229,760,302,27,123,115,10,25.0%
207,jun-20,3,12,29,133,266,94,2089,961,187,622,279,40,118,138,5,27.2%
208,jun-20,8,11,41,45,39,85,701,0,701,0,0,0,6,7,27,9.1%
209,jun-20,7,25,254,190,129,619,4878,0,0,2317,2102,426,293,200,62,63.6%
210,jun-20,5,36,308,325,205,705,5751,394,660,2179,2079,439,313,315,81,75.0%
211,jul-20,1,87,530,552,512,712,7552,911,878,2962,2331,470,417,427,95,100.0%
212,jul-20,2,27,29,414,302,170,3598,415,439,1135,1279,330,238,163,35,47.6%
213,jul-20,6,22,23,59,308,68,1643,498,209,640,270,26,112,103,10,21.8%
214,jul-20,3,29,42,164,326,52,1951,897,176,591,250,37,114,130,6,25.8%
215,jul-20,8,14,44,55,37,73,693,0,693,0,0,0,3,9,27,9.2%
216,jul-20,7,44,444,333,149,587,4908,0,0,2371,2081,433,294,200,63,65.0%
217,jul-20,5,65,507,493,204,644,5909,413,669,2322,2061,444,323,328,84,78.2%
218,aug-20,1,89,434,628,477,595,7580,879,891,3011,2336,463,418,428,100,100.0%
219,aug-20,2,21,39,504,308,120,3835,440,446,1261,1367,321,249,191,44,50.6%
220,aug-20,6,28,21,79,224,50,1487,449,191,580,243,24,107,98,11,19.6%
