_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
469,apr-23,1,66,301,766,595,787,10515,1225,1249,4496,2945,600,508,477,142,100.0%
470,apr-23,2,17,36,440,377,153,5017,394,482,1882,1812,447,278,295,76,47.7%
471,apr-23,6,17,20,409,347,80,3663,779,571,1768,506,39,221,259,20,34.8%
472,apr-23,3,16,10,245,272,43,2432,1215,261,746,199,11,131,195,3,23.1%
473,apr-23,8,7,32,103,47,50,986,0,986,0,0,0,55,57,60,9.4%
474,apr-23,7,43,259,418,276,694,7097,0,0,3750,2746,589,433,363,104,67.5%
475,apr-23,5,49,281,357,248,707,6852,446,678,2728,2439,561,384,389,133,65.2%
476,apr-23,4,6,88,23,22,151,1023,6,107,566,312,32,91,46,39,9.7%
477,may-23,1,68,266,1132,704,773,10453,1242,1272,4494,2845,600,507,474,139,100.0%
478,may-23,2,14,35,443,414,175,4917,392,472,1832,1778,443,273,280,74,47.0%
479,may-23,6,19,24,764,444,124,3914,779,635,1942,519,39,234,272,18,37.4%
480,may-23,3,21,15,401,323,83,2458,1230,257,764,194,13,134,197,3,23.5%
481,may-23,8,4,19,166,62,89,1015,0,1015,0,0,0,70,64,51,9.7%
482,may-23,7,43,232,565,319,601,6980,0,0,3730,2651,587,426,354,102,66.8%
483,may-23,5,49,242,368,260,649,6539,463,637,2552,2326,561,354,373,125,62.6%
484,may-23,4,4,70,26,21,130,972,9,94,543,295,31,83,37,35,9.3%
485,jun-23,1,47,188,899,446,701,10418,1282,1310,4471,2781,574,504,479,131,100.0%
486,jun-23,2,8,26,648,285,179,5111,528,511,1859,1775,438,280,305,73,49.1%
487,jun-23,6,18,14,576,262,97,4171,780,683,2109,562,37,239,303,18,40.0%
488,jun-23,3,9,8,287,192,24,2554,1272,277,783,208,14,151,203,2,24.5%
489,jun-23,8,7,25,114,40,71,1033,0,1033,0,0,0,79,68,48,9.9%
490,jun-23,7,31,155,498,214,606,6831,0,0,3688,2573,560,408,353,94,65.6%
491,jun-23,5,29,174,323,184,604,6247,502,627,2362,2219,537,335,356,115,60.0%
492,jun-23,4,5,51,27,26,172,855,10,80,480,259,26,41,19,28,8.2%
493,jul-23,1,34,148,599,248,807,10110,1279,1314,4339,2626,552,492,476,121,100.0%
494,jul-23,2,12,27,427,160,246,5145,559,530,1899,1729,428,282,311,77,50.9%
495,jul-23,6,12,14,389,117,125,4354,787,720,2225,585,37,246,323,21,43.1%
496,jul-23,3,6,5,133,83,59,2557,1267,284,779,213,14,150,206,3,25.3%
497,jul-23,8,4,18,95,24,71,1029,0,1029,0,0,0,74,73,45,10.2%
498,jul-23,7,24,125,371,141,677,6524,0,0,3560,2413,538,375,351,85,64.5%
499,jul-23,5,22,134,210,131,682,5756,492,594,2114,2041,515,307,332,110,56.9%
500,jul-23,4,4,35,17,6,161,749,9,80,402,234,24,17,7,24,7.4%
501,aug-23,1,42,201,539,246,632,9988,1262,1292,4351,2550,533,485,475,111,100.0%
502,aug-23,2,9,35,517,169,194,5338,619,554,2008,1739,418,288,329,75,53.4%
503,aug-23,6,8,19,332,89,113,4525,782,726,2369,606,42,251,335,18,45.3%
504,aug-23,3,4,6,86,73,46,2539,1251,281,779,213,15,149,202,2,25.4%
505,aug-23,8,4,18,82,32,65,1011,0,1011,0,0,0,67,70,42,10.1%
506,aug-23,7,34,177,371,141,521,6438,0,0,3572,2337,518,365,350,75,64.5%
507,aug-23,5,34,182,207,157,519,5463,480,566,1982,1944,491,297,318,101,54.7%
508,aug-23,4,5,50,21,17,136,668,7,74,353,213,21,7,2,21,6.7%
509,sep-23,1,49,194,841,348,483,10212,1267,1323,4516,2571,535,491,483,115,100.0%
510,sep-23,2,12,38,624,219,182,5596,727,591,2115,1740,423,291,359,79,54.8%
511,sep-23,6,12,21,605,220,89,4855,799,762,2610,641,43,257,365,23,47.5%
512,sep-23,3,11,3,200,176,25,2552,1260,283,779,215,15,148,208,2,25.0%
513,sep-23,8,3,19,117,34,58,1039,0,1039,0,0,0,72,80,44,10.2%
514,sep-23,7,35,172,524,138,400,6621,7,1,3737,2356,520,376,366,79,64.8%
515,sep-23,5,37,173,236,128,394,5357,468,561,1906,1930,492,292,310,101,52.5%
516,sep-23,4,7,57,23,11,88,660,7,69,343,216,25,2,5,21,6.5%
517,oct-23,1,33,165,929,710,502,10111,1223,1303,4536,2518,531,488,480,122,100.0%
518,oct-23,2,13,30,635,492,213,5564,717,610,2102,1705,430,290,361,79,55.0%
519,oct-23,6,11,18,708,512,83,5002,806,758,2744,654,40,260,375,26,49.5%
520,oct-23,3,2,6,330,377,44,2475,1217,279,756,209,14,140,197,2,24.5%
521,oct-23,8,10,16,105,70,57,1023,0,1023,0,0,0,74,67,47,10.1%
522,oct-23,7,21,143,494,263,401,6613,0,0,3780,2309,517,374,368,85,65.4%
523,oct-23,5,22,147,221,198,419,5109,417,545,1792,1864,491,283,291,106,50.5%
524,oct-23,4,6,49,29,8,92,649,5,63,337,215,29,1,2,26,6.4%
525,nov-23,1,69,267,1113,550,472,10498,1265,1327,4772,2605,529,503,485,116,100.0%
526,nov-23,2,18,66,729,439,194,5711,693,623,2244,1722,429,296,370,78,54.4%
527,nov-23,6,20,40,808,357,122,5386,848,786,2986,727,39,264,395,27,51.3%
528,nov-23,3,21,11,367,293,49,2525,1256,274,771,213,11,146,203,2,24.1%
529,nov-23,8,7,25,137,73,51,1052,0,1052,0,0,0,83,74,46,10.0%
530,nov-23,7,41,231,609,184,372,6921,0,0,4001,2392,518,404,387,78,65.9%
531,nov-23,5,49,227,305,193,350,5112,417,541,1786,1878,490,285,288,99,48.7%
532,nov-23,4,10,65,26,8,80,665,8,62,335,233,27,4,3,24,6.3%
533,dec-23,1,53,266,886,617,447,10607,1264,1349,4873,2594,527,506,486,116,100.0%
534,dec-23,2,4,64,634,504,155,5774,687,631,2339,1703,414,301,376,79,54.4%
535,dec-23,6,10,24,621,399,148,5512,867,801,3059,750,35,274,399,24,52.0%
536,dec-23,3,14,6,312,309,32,2522,1258,269,779,203,13,143,206,3,23.8%
537,dec-23,8,8,19,110,47,56,1079,0,1079,0,0,0,88,79,42,10.2%
538,dec-23,7,31,241,464,261,359,7006,0,0,4094,2391,514,413,386,81,66.1%
539,dec-23,5,43,242,265,218,299,5095,397,548,1814,1844,492,286,276,101,48.0%
540,dec-23,4,8,74,18,14,81,679,9,64,340,234,32,7,4,25,6.4%
541,jan-24,1,53,383,930,520,431,10999,1259,1338,5124,2731,547,513,488,121,100.0%
