_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
69,oct-18,7,34,366,446,165,695,5189,0,0,2486,2236,461,312,185,39,0.5670000000000001
70,oct-18,5,51,406,528,223,751,6002,458,850,2142,2103,449,335,317,70,0.6559999999999999
71,nov-18,1,79,639,1308,675,871,9557,1656,1190,3603,2633,475,473,444,95,1
72,nov-18,2,15,32,329,258,105,2840,286,368,842,1074,270,210,117,34,0.297
73,nov-18,6,21,35,653,473,126,3249,1186,341,1301,392,29,196,233,9,0.34
74,nov-18,3,22,16,583,467,58,3153,1652,285,942,258,16,166,299,3,0.33
75,nov-18,8,7,57,106,44,109,903,0,903,0,0,0,42,30,45,0.094
76,nov-18,7,50,566,619,164,704,5501,0,0,2661,2375,459,337,198,49,0.5760000000000001
77,nov-18,5,58,604,655,202,745,6308,470,849,2302,2241,446,354,329,85,0.66
78,dec-18,1,68,553,1152,661,844,9782,1708,1207,3717,2694,456,485,452,93,1
79,dec-18,2,10,40,370,237,111,2906,292,371,867,1100,276,212,121,34,0.297
80,dec-18,6,19,29,593,473,121,3294,1213,357,1304,392,28,197,242,9,0.337
81,dec-18,3,19,11,603,457,78,3258,1708,300,980,255,15,172,310,2,0.33299999999999996
82,dec-18,8,12,55,97,33,106,906,0,906,0,0,0,49,28,42,0.09300000000000001
83,dec-18,7,37,487,452,171,660,5618,0,0,2737,2439,441,346,207,51,0.574
84,dec-18,5,49,524,559,188,723,6488,495,850,2413,2302,428,373,339,83,0.6629999999999999
85,jan-19,1,67,563,1106,578,840,10029,1738,1264,3768,2786,473,493,461,99,1
86,jan-19,2,11,27,532,228,110,3053,369,394,889,1123,278,216,126,38,0.304
87,jan-19,6,19,32,507,395,139,3309,1217,382,1258,422,30,197,247,12,0.33
88,jan-19,3,15,19,487,380,75,3197,1672,313,939,259,14,170,302,3,0.319
89,jan-19,8,13,60,111,50,94,950,0,950,0,0,0,64,39,41,0.095
90,jan-19,7,39,484,508,148,671,5882,0,0,2829,2527,459,359,229,57,0.586
91,jan-19,5,48,531,599,183,701,6720,521,882,2510,2364,443,391,353,86,0.67
92,feb-19,1,63,540,1021,700,907,9982,1676,1233,3756,2833,484,490,462,100,1
93,feb-19,2,14,30,388,274,97,3083,379,394,888,1147,275,218,129,37,0.309
94,feb-19,6,15,26,499,504,139,3202,1179,348,1229,412,34,186,239,11,0.321
95,feb-19,3,6,9,456,498,70,3104,1602,298,935,253,16,165,293,3,0.311
96,feb-19,8,10,46,108,54,108,935,0,935,0,0,0,51,40,43,0.094
97,feb-19,7,47,485,457,148,729,5943,0,0,2821,2580,468,360,244,56,0.595
98,feb-19,5,48,514,522,196,768,6780,497,885,2527,2421,450,394,360,88,0.679
99,mar-19,1,58,532,1162,719,923,10043,1687,1238,3806,2833,479,491,464,101,1
100,mar-19,2,12,28,551,289,91,3287,441,412,959,1191,284,223,143,36,0.327
101,mar-19,6,9,26,573,500,136,3171,1182,339,1213,406,31,184,232,12,0.316
102,mar-19,3,3,17,551,491,81,3106,1614,292,930,253,17,163,298,2,0.309
103,mar-19,8,15,53,126,48,115,945,0,945,0,0,0,59,38,44,0.094
104,mar-19,7,40,462,485,180,727,5992,0,0,2876,2580,462,364,248,58,0.597
105,mar-19,5,49,506,589,219,787,6872,505,899,2593,2427,448,399,374,89,0.684
106,apr-19,1,86,547,1121,704,907,10142,1730,1243,3814,2869,486,496,465,98,1
107,apr-19,2,18,32,409,287,89,3308,431,408,977,1208,284,224,145,37,0.326
108,apr-19,6,29,37,567,471,109,3219,1208,330,1221,430,30,190,241,13,0.317
109,apr-19,3,31,28,541,468,54,3182,1650,292,956,268,16,167,303,2,0.314
110,apr-19,8,15,60,107,49,109,951,0,951,0,0,0,66,36,44,0.094
111,apr-19,7,40,459,473,187,744,6009,0,0,2858,2601,470,367,251,54,0.5920000000000001
112,apr-19,5,57,510,554,233,798,6923,522,913,2593,2439,456,405,375,84,0.6829999999999999
113,may-19,1,94,508,1221,678,1028,10184,1772,1225,3877,2813,497,497,467,98,1
114,may-19,2,30,29,459,304,105,3382,461,406,1002,1221,292,229,155,39,0.332
115,may-19,6,22,26,613,415,133,3323,1248,328,1284,433,30,197,253,12,0.326
116,may-19,3,16,24,525,416,68,3267,1703,274,997,277,16,173,308,2,0.321
